#;Circonscriptions;"Population 20191

(hab.)"
1;Ain, 1re;122750
2;Ain, 2e;137975
3;Ain, 3e;146110
4;Ain, 4e;128896
5;Ain, 5e;116701
6;Aisne, 1re;103563
7;Aisne, 2e;105491
8;Aisne, 3e;92647
9;Aisne, 4e;113186
10;Aisne, 5e;116500
11;Allier, 1re;119027
12;Allier, 2e;110577
13;Allier, 3e;106371
14;Alpes-de-Haute-Provence, 1re;79407
15;Alpes-de-Haute-Provence, 2e;84901
16;Hautes-Alpes, 1re;77021
17;Hautes-Alpes, 2e;64199
18;Alpes-Maritimes, 1re;127965
19;Alpes-Maritimes, 2e;115269
20;Alpes-Maritimes, 3e;137922
21;Alpes-Maritimes, 4e;118393
22;Alpes-Maritimes, 5e;128666
23;Alpes-Maritimes, 6e;108782
24;Alpes-Maritimes, 7e;129463
25;Alpes-Maritimes, 8e;117355
26;Alpes-Maritimes, 9e;110468
27;Ardèche, 1re;102183
28;Ardèche, 2e;124485
29;Ardèche, 3e;101610
30;Ardennes, 1re;102761
31;Ardennes, 2e;89775
32;Ardennes, 3e;78046
33;Ariège, 1re;69672
34;Ariège, 2e;83615
35;Aube, 1re;94272
36;Aube, 2e;110130
37;Aube, 3e;105840
38;Aude, 1re;136038
39;Aude, 2e;116359
40;Aude, 3e;121673
41;Aveyron, 1re;104079
42;Aveyron, 2e;86293
43;Aveyron, 3e;89223
44;Bouches-du-Rhône, 1re;117702
45;Bouches-du-Rhône, 2e;116133
46;Bouches-du-Rhône, 3e;132822
47;Bouches-du-Rhône, 4e;132606
48;Bouches-du-Rhône, 5e;121879
49;Bouches-du-Rhône, 6e;124837
50;Bouches-du-Rhône, 7e;124752
51;Bouches-du-Rhône, 8e;133610
52;Bouches-du-Rhône, 9e;126073
53;Bouches-du-Rhône, 10e;134291
54;Bouches-du-Rhône, 11e;125613
55;Bouches-du-Rhône, 12e;124040
56;Bouches-du-Rhône, 13e;127298
57;Bouches-du-Rhône, 14e;137164
58;Bouches-du-Rhône, 15e;136274
59;Bouches-du-Rhône, 16e;128016
60;Calvados, 1re;112766
61;Calvados, 2e;108854
62;Calvados, 3e;106852
63;Calvados, 4e;125987
64;Calvados, 5e;112916
65;Calvados, 6e;128065
66;Cantal, 1re;81939
67;Cantal, 2e;62753
68;Charente, 1re;121514
69;Charente, 2e;111592
70;Charente, 3e;118909
71;Charente-Maritime, 1re;141591
72;Charente-Maritime, 2e;144726
73;Charente-Maritime, 3e;107424
74;Charente-Maritime, 4e;117188
75;Charente-Maritime, 5e;140429
76;Cher, 1re;96649
77;Cher, 2e;93621
78;Cher, 3e;112036
79;Corrèze, 1re;120344
80;Corrèze, 2e;119729
81;Côte-d'Or, 1re;110411
82;Côte-d'Or, 2e;116874
83;Côte-d'Or, 3e;107923
84;Côte-d'Or, 4e;87522
85;Côte-d'Or, 5e;111394
86;Côtes-d'Armor, 1re;124677
87;Côtes-d'Armor, 2e;126444
88;Côtes-d'Armor, 3e;118558
89;Côtes-d'Armor, 4e;105433
90;Côtes-d'Armor, 5e;125470
91;Creuse, 1re;116617
92;Dordogne, 1re;105396
93;Dordogne, 2e;108486
94;Dordogne, 3e;86856
95;Dordogne, 4e;112485
96;Doubs, 1re;120750
97;Doubs, 2e;114298
98;Doubs, 3e;94091
99;Doubs, 4e;94919
100;Doubs, 5e;119916
101;Drôme, 1re;115042
102;Drôme, 2e;130625
103;Drôme, 3e;134840
104;Drôme, 4e;136255
105;Eure, 1re;126899
106;Eure, 2e;109189
107;Eure, 3e;113664
108;Eure, 4e;127555
109;Eure, 5e;122200
110;Eure-et-Loir, 1re;125515
111;Eure-et-Loir, 2e;111421
112;Eure-et-Loir, 3e;100060
113;Eure-et-Loir, 4e;94579
114;Finistère, 1re;120083
115;Finistère, 2e;123570
116;Finistère, 3e;122952
117;Finistère, 4e;106177
118;Finistère, 5e;125820
119;Finistère, 6e;113182
120;Finistère, 7e;96338
121;Finistère, 8e;106968
122;Corse-du-Sud, 1re;79077
123;Corse-du-Sud, 2e;79430
124;Haute-Corse, 1re;100170
125;Haute-Corse, 2e;81763
126;Gard, 1re;135452
127;Gard, 2e;119424
128;Gard, 3e;122004
129;Gard, 4e;125513
130;Gard, 5e;125592
131;Gard, 6e;120452
132;Haute-Garonne, 1re;150263
133;Haute-Garonne, 2e;163019
134;Haute-Garonne, 3e;124616
135;Haute-Garonne, 4e;124981
136;Haute-Garonne, 5e;146267
137;Haute-Garonne, 6e;161452
138;Haute-Garonne, 7e;146333
139;Haute-Garonne, 8e;107801
140;Haute-Garonne, 9e;141128
141;Haute-Garonne, 10e;134179
142;Gers, 1re;97354
143;Gers, 2e;94023
144;Gironde, 1re;156497
145;Gironde, 2e;115575
146;Gironde, 3e;143395
147;Gironde, 4e;150885
148;Gironde, 5e;157527
149;Gironde, 6e;149784
150;Gironde, 7e;114053
151;Gironde, 8e;137888
152;Gironde, 9e;133046
153;Gironde, 10e;114302
154;Gironde, 11e;133499
155;Gironde, 12e;117298
156;Hérault, 1re;126520
157;Hérault, 2e;118206
158;Hérault, 3e;130212
159;Hérault, 4e;148929
160;Hérault, 5e;126892
161;Hérault, 6e;135512
162;Hérault, 7e;135473
163;Hérault, 8e;133452
164;Hérault, 9e;120427
165;Ille-et-Vilaine, 1re;138863
166;Ille-et-Vilaine, 2e;141381
167;Ille-et-Vilaine, 3e;130950
168;Ille-et-Vilaine, 4e;127672
169;Ille-et-Vilaine, 5e;146314
170;Ille-et-Vilaine, 6e;123388
171;Ille-et-Vilaine, 7e;125528
172;Ille-et-Vilaine, 8e;145402
173;Indre, 1re;105710
174;Indre, 2e;113606
175;Indre-et-Loire, 1re;119665
176;Indre-et-Loire, 2e;119349
177;Indre-et-Loire, 3e;131629
178;Indre-et-Loire, 4e;126050
179;Indre-et-Loire, 5e;113386
180;Isère, 1re;130351
181;Isère, 2e;127910
182;Isère, 3e;106226
183;Isère, 4e;120266
184;Isère, 5e;137624
185;Isère, 6e;126118
186;Isère, 7e;131329
187;Isère, 8e;113884
188;Isère, 9e;132034
189;Isère, 10e;145424
190;Jura, 1re;86273
191;Jura, 2e;76627
192;Jura, 3e;96299
193;Landes, 1re;136033
194;Landes, 2e;152195
195;Landes, 3e;125462
196;Loir-et-Cher, 1re;116192
197;Loir-et-Cher, 2e;106355
198;Loir-et-Cher, 3e;106923
199;Loire, 1re;114369
200;Loire, 2e;96122
201;Loire, 3e;121561
202;Loire, 4e;143902
203;Loire, 5e;142322
204;Loire, 6e;147358
205;Haute-Loire, 1re;127337
206;Haute-Loire, 2e;100233
207;Loire-Atlantique, 1re;118516
208;Loire-Atlantique, 2e;144433
209;Loire-Atlantique, 3e;140131
210;Loire-Atlantique, 4e;126140
211;Loire-Atlantique, 5e;167177
212;Loire-Atlantique, 6e;155515
213;Loire-Atlantique, 7e;133892
214;Loire-Atlantique, 8e;124252
215;Loire-Atlantique, 9e;160103
216;Loire-Atlantique, 10e;159007
217;Loiret, 1re;116729
218;Loiret, 2e;132512
219;Loiret, 3e;96930
220;Loiret, 4e;110204
221;Loiret, 5e;109721
222;Loiret, 6e;114338
223;Lot, 1re;91639
224;Lot, 2e;82455
225;Lot-et-Garonne, 1re;123597
226;Lot-et-Garonne, 2e;106505
227;Lot-et-Garonne, 3e;101169
228;Lozère, 1re;76604
229;Maine-et-Loire, 1re;131788
230;Maine-et-Loire, 2e;126137
231;Maine-et-Loire, 3e;98280
232;Maine-et-Loire, 4e;102691
233;Maine-et-Loire, 5e;109773
234;Maine-et-Loire, 6e;134250
235;Maine-et-Loire, 7e;115460
236;Manche, 1re;116218
237;Manche, 2e;122276
238;Manche, 3e;137098
239;Manche, 4e;118918
240;Marne, 1re;119209
241;Marne, 2e;113933
242;Marne, 3e;112411
243;Marne, 4e;120710
244;Marne, 5e;100550
245;Haute-Marne, 1re;91797
246;Haute-Marne, 2e;80715
247;Mayenne, 1re;102769
248;Mayenne, 2e;106653
249;Mayenne, 3e;97640
250;Meurthe-et-Moselle, 1re;133907
251;Meurthe-et-Moselle, 2e;112661
252;Meurthe-et-Moselle, 3e;128314
253;Meurthe-et-Moselle, 4e;130167
254;Meurthe-et-Moselle, 5e;105934
255;Meurthe-et-Moselle, 6e;122777
256;Meuse, 1re;100887
257;Meuse, 2e;83196
258;Morbihan, 1re;137850
259;Morbihan, 2e;130385
260;Morbihan, 3e;126048
261;Morbihan, 4e;140398
262;Morbihan, 5e;108701
263;Morbihan, 6e;116302
264;Moselle, 1re;127400
265;Moselle, 2e;109618
266;Moselle, 3e;110914
267;Moselle, 4e;105468
268;Moselle, 5e;97488
269;Moselle, 6e;102022
270;Moselle, 7e;123659
271;Moselle, 8e;130440
272;Moselle, 9e;139534
273;Nièvre, 1re;102282
274;Nièvre, 2e;102170
275;Nord, 1re;119596
276;Nord, 2e;138650
277;Nord, 3e;136866
278;Nord, 4e;141373
279;Nord, 5e;137402
280;Nord, 6e;116324
281;Nord, 7e;106622
282;Nord, 8e;122232
283;Nord, 9e;133949
284;Nord, 10e;115166
285;Nord, 11e;144800
286;Nord, 12e;125891
287;Nord, 13e;122447
288;Nord, 14e;125786
289;Nord, 15e;125913
290;Nord, 16e;115542
291;Nord, 17e;103361
292;Nord, 18e;125162
293;Nord, 19e;117532
294;Nord, 20e;110744
295;Nord, 21e;122988
296;Oise, 1re;119606
297;Oise, 2e;123393
298;Oise, 3e;124261
299;Oise, 4e;128907
300;Oise, 5e;105402
301;Oise, 6e;108466
302;Oise, 7e;119384
303;Orne, 1re;97264
304;Orne, 2e;86741
305;Orne, 3e;95937
306;Pas-de-Calais, 1re;136366
307;Pas-de-Calais, 2e;117433
308;Pas-de-Calais, 3e;117997
309;Pas-de-Calais, 4e;111299
310;Pas-de-Calais, 5e;119844
311;Pas-de-Calais, 6e;123123
312;Pas-de-Calais, 7e;128383
313;Pas-de-Calais, 8e;123367
314;Pas-de-Calais, 9e;105043
315;Pas-de-Calais, 10e;119075
316;Pas-de-Calais, 11e;133371
